省级	地市级	区划代码	地名	区划级别	省会	批注
蒙		150423	巴林右旗	县区		
蒙		150424	林西县	县区		
蒙		150425	克什克腾旗	县区		
蒙		150426	翁牛特旗	县区		
蒙		150428	喀喇沁旗	县区		
蒙		150429	宁城县	县区		
蒙		150430	敖汉旗	县区		
蒙	通辽市	150500	通辽市	地市级		
蒙		150502	科尔沁区	县区		
蒙		150521	科尔沁左翼中旗	县区		
蒙		150522	科尔沁左翼后旗	县区		
蒙		150523	开鲁县	县区		
蒙		150524	库伦旗	县区		
蒙		150525	奈曼旗	县区		
蒙		150526	扎鲁特旗	县区		
蒙		150581	霍林郭勒市	县区		
蒙	鄂尔多斯市	150600	鄂尔多斯市	地市级		
蒙		150602	东胜区	县区		
蒙		150603	康巴什区	县区		
蒙		150621	达拉特旗	县区		
蒙		150622	准格尔旗	县区		
蒙		150623	鄂托克前旗	县区		
蒙		150624	鄂托克旗	县区		
蒙		150625	杭锦旗	县区		
蒙		150626	乌审旗	县区		
蒙		150627	伊金霍洛旗	县区		
蒙	呼伦贝尔市	150700	呼伦贝尔市	地市级		
蒙		150702	海拉尔区	县区		
蒙		150703	扎赉诺尔区	县区		
蒙		150721	阿荣旗	县区		
蒙		150722	莫力达瓦达斡尔族自治旗	县区		
蒙		150723	鄂伦春自治旗	县区		
蒙		150724	鄂温克族自治旗	县区		
蒙		150725	陈巴尔虎旗	县区		
蒙		150726	新巴尔虎左旗	县区		
蒙		150727	新巴尔虎右旗	县区		
蒙		150781	满洲里市	县区		
蒙		150782	牙克石市	县区		
蒙		150783	扎兰屯市	县区		
蒙		150784	额尔古纳市	县区		
蒙		150785	根河市	县区		
蒙	巴彦淖尔市	150800	巴彦淖尔市	地市级		
蒙		150802	临河区	县区		
蒙		150821	五原县	县区		
蒙		150822	磴口县	县区		
蒙		150823	乌拉特前旗	县区		
蒙		150824	乌拉特中旗	县区		
蒙		150825	乌拉特后旗	县区		
蒙		150826	杭锦后旗	县区		
蒙	乌兰察布市	150900	乌兰察布市	地市级		
蒙		150902	集宁区	县区		
蒙		150921	卓资县	县区		
蒙		150922	化德县	县区		
蒙		150923	商都县	县区		
蒙		150924	兴和县	县区		
蒙		150925	凉城县	县区		
蒙		150926	察哈尔右翼前旗	县区		
蒙		150927	察哈尔右翼中旗	县区		
蒙		150928	察哈尔右翼后旗	县区		
蒙		150929	四子王旗	县区		
蒙		150981	丰镇市	县区		
蒙	兴安盟	152200	兴安盟	地市级		
蒙		152201	乌兰浩特市	县区		
蒙		152202	阿尔山市	县区		
蒙		152221	科尔沁右翼前旗	县区		
蒙		152222	科尔沁右翼中旗	县区		
蒙		152223	扎赉特旗	县区		
蒙		152224	突泉县	县区		
蒙	锡林郭勒盟	152500	锡林郭勒盟	地市级		
蒙		152501	二连浩特市	县区		
蒙		152502	锡林浩特市	县区		
蒙		152522	阿巴嘎旗	县区		
蒙		152523	苏尼特左旗	县区		
蒙		152524	苏尼特右旗	县区		
蒙		152525	东乌珠穆沁旗	县区		
蒙		152526	西乌珠穆沁旗	县区		
蒙		152527	太仆寺旗	县区		
蒙		152528	镶黄旗	县区		
蒙		152529	正镶白旗	县区		
蒙		152530	正蓝旗	县区		
蒙		152531	多伦县	县区		
蒙	阿拉善盟	152900	阿拉善盟	地市级		
蒙		152921	阿拉善左旗	县区		
蒙		152922	阿拉善右旗	县区		
蒙		152923	额济纳旗	县区		
辽		210000	辽宁省	省级		
辽	沈阳市	210100	沈阳市	副省级	√	
辽		210102	和平区	县区		
辽		210103	沈河区	县区		
辽		210104	大东区	县区		
辽		210105	皇姑区	县区		
辽		210106	铁西区	县区		
辽		210111	苏家屯区	县区		
辽		210112	浑南区	县区		
辽		210113	沈北新区	县区		
辽		210114	于洪区	县区		
辽		210115	辽中区	县区		
辽		210123	康平县	县区		
辽		210124	法库县	县区		
辽		210181	新民市	县区		
辽	大连市	210200	大连市	副省级		
辽		210202	中山区	县区		
辽		210203	西岗区	县区		
辽		210204	沙河口区	县区		
辽		210211	甘井子区	县区		
辽		210212	旅顺口区	县区		
辽		210213	金州区	县区		
辽		210214	普兰店区	县区		
辽		210224	长海县	县区		
辽		210281	瓦房店市	县区		
辽		210283	庄河市	县区		
辽	鞍山市	210300	鞍山市	地市级		
辽		210302	铁东区	县区		
辽		210303	铁西区	县区		
辽		210304	立山区	县区		
辽		210311	千山区	县区		
辽		210321	台安县	县区		
辽		210323	岫岩满族自治县	县区		
辽		210381	海城市	县区		
辽	抚顺市	210400	抚顺市	地市级		
辽		210402	新抚区	县区		
辽		210403	东洲区	县区		
辽		210404	望花区	县区		
辽		210411	顺城区	县区		
辽		210421	抚顺县	县区		
辽		210422	新宾满族自治县	县区		
辽		210423	清原满族自治县	县区		
辽	本溪市	210500	本溪市	地市级		
辽		210502	平山区	县区		
辽		210503	溪湖区	县区		
辽		210504	明山区	县区		
辽		210505	南芬区	县区		
辽		210521	本溪满族自治县	县区		
辽		210522	桓仁满族自治县	县区		
辽	丹东市	210600	丹东市	地市级		
辽		210602	元宝区	县区		
辽		210603	振兴区	县区		
辽		210604	振安区	县区		
辽		210624	宽甸满族自治县	县区		
辽		210681	东港市	县区		
辽		210682	凤城市	县区		
辽	锦州市	210700	锦州市	地市级		
辽		210702	古塔区	县区		
辽		210703	凌河区	县区		
辽		210711	太和区	县区		
辽		210726	黑山县	县区		
辽		210727	义县	县区		
辽		210781	凌海市	县区		
辽		210782	北镇市	县区		
辽	营口市	210800	营口市	地市级		
辽		210802	站前区	县区		
辽		210803	西市区	县区		
辽		210804	鲅鱼圈区	县区		
辽		210811	老边区	县区		
辽		210881	盖州市	县区		
辽		210882	大石桥市	县区		
辽	阜新市	210900	阜新市	地市级		
辽		210902	海州区	县区		
辽		210903	新邱区	县区		
辽		210904	太平区	县区		
辽		210905	清河门区	县区		
辽		210911	细河区	县区		
辽		210921	阜新蒙古族自治县	县区		
辽		210922	彰武县	县区		
辽	辽阳市	211000	辽阳市	地市级		
辽		211002	白塔区	县区		
辽		211003	文圣区	县区		
辽		211004	宏伟区	县区		
辽		211005	弓长岭区	县区		
辽		211011	太子河区	县区		
辽		211021	辽阳县	县区		
辽		211081	灯塔市	县区		
辽	盘锦市	211100	盘锦市	地市级		
辽		211102	双台子区	县区		
辽		211103	兴隆台区	县区		
辽		211104	大洼区	县区		
辽		211122	盘山县	县区		
辽	铁岭市	211200	铁岭市	地市级		
辽		211202	银州区	县区		
辽		211204	清河区	县区		
辽		211221	铁岭县	县区		
辽		211223	西丰县	县区		
辽		211224	昌图县	县区		
辽		211281	调兵山市	县区		
辽		211282	开原市	县区		
辽	朝阳市	211300	朝阳市	地市级		
辽		211302	双塔区	县区		
辽		211303	龙城区	县区		
辽		211321	朝阳县	县区		
辽		211322	建平县	县区		
辽		211324	喀喇沁左翼蒙古族自治县	县区		
辽		211381	北票市	县区		
辽		211382	凌源市	县区		
辽	葫芦岛市	211400	葫芦岛市	地市级		
辽		211402	连山区	县区		
辽		211403	龙港区	县区		
辽		211404	南票区	县区		
辽		211421	绥中县	县区		
辽		211422	建昌县	县区		
辽		211481	兴城市	县区		
吉		220000	吉林省	省级		
吉	长春市	220100	长春市	副省级	√	
吉		220102	南关区	县区		
吉		220103	宽城区	县区		
吉		220104	朝阳区	县区		
吉		220105	二道区	县区		
吉		220106	绿园区	县区		
吉		220112	双阳区	县区		
吉		220113	九台区	县区		
吉		220122	农安县	县区		
吉		220182	榆树市	县区		
吉		220183	德惠市	县区		
吉		220184	公主岭市	县区		
吉	吉林市	220200	吉林市	地市级		
吉		220202	昌邑区	县区		
吉		220203	龙潭区	县区		
吉		220204	船营区	县区		
吉		220211	丰满区	县区		
吉		220221	永吉县	县区		
吉		220281	蛟河市	县区		
吉		220282	桦甸市	县区		
吉		220283	舒兰市	县区		
吉		220284	磐石市	县区		
吉	四平市	220300	四平市	地市级		
吉		220302	铁西区	县区		
吉		220303	铁东区	县区		
吉		220322	梨树县	县区		
吉		220323	伊通满族自治县	县区		
吉		220382	双辽市	县区		
